Question 1,Reason 1,Question 2,Reason 2,Relative_difficulty
What is the advantage of a deep Boltzmann machine over a fully connected Boltzmann machine?,"[""Is about a fundamental concept"", ""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts"", ""Involves very little or no mathematics""]",Define deep Boltzmann machine.,"[""Appears towards the end of the book or is otherwise hidden"", ""Involves intricate mathematics"", ""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts""]",Second question is more difficult
How do you define a linear combination of a set of vectors?,"[""Is about a fundamental concept""]",What is the reason to use vector valued memory cells?,"[""Involves many prerequisite concepts"", ""Does not involve a lot of prerequisite concepts"", ""Appears towards the end of the book or is otherwise hidden"", ""Is about a fundamental concept"", ""Involves very little or no mathematics""]",Second question is more difficult
What are equality constraints and inequality constraints in generalized Lagrange function?,"[""Involves intricate mathematics"", ""Involves very little or no mathematics""]",How model capacity is related to overfitting ?,"[""Is about a fundamental concept""]",First question is more difficult
Why CD has lower variance compared to SML?,"[""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts"", ""Is about a fundamental concept""]",How ratio matching avoids the partition function?,"[""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts""]",They are equally difficult
What is the effect of using approximate inference as part of a learning algorithm?,"[""Involves many prerequisite concepts"", ""Involves intricate mathematics"", ""Appears towards the end of the book or is otherwise hidden"", ""Is about a fundamental concept"", ""Is about an obscure concept""]",Why should we use deterministic approximate algorithms or Monte Carlo algorithms in machine learning?,"[""Is about a fundamental concept"", ""Does not involve a lot of prerequisite concepts"", ""Involves very little or no mathematics""]",First question is more difficult
What is transfer learning?,"[""Is about a fundamental concept"", ""Involves very little or no mathematics""]",Define an energy based model.,"[""Is about an obscure concept"", ""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts"", ""Is about a fundamental concept""]",Second question is more difficult
What are the computational advantages of diagonal matrices?,"[""Involves intricate mathematics"", ""Involves very little or no mathematics"", ""Is about a fundamental concept"", ""Appears early in the book or is otherwise highlighted""]",What is singular value decomposition of a matrix A?,"[""Involves intricate mathematics"", ""Involves very little or no mathematics"", ""Is about a fundamental concept"", ""Appears early in the book or is otherwise highlighted""]",Second question is more difficult
What is the difference between feedforward neural network and recurrent neural network?,"[""Is about a fundamental concept"", ""Does not involve a lot of prerequisite concepts"", ""Involves very little or no mathematics""]",How to draw samples from RNN considering it as graphical model?,"[""Is about an obscure concept"", ""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts"", ""Involves very little or no mathematics""]",Second question is more difficult
When SML is vulnerable to becoming inaccurate?,"[""Is about an obscure concept"", ""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts""]",What is a disadvantage of the REINFORCE algorithm?,"[""Is about a fundamental concept"", ""Is about an obscure concept"", ""Involves many prerequisite concepts"", ""Involves very little or no mathematics""]",They are equally difficult
When SML is vulnerable to becoming inaccurate?,"[""Is about an obscure concept"", ""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts""]",When do we use Monte Carlo sampling?,"[""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept""]",First question is more difficult
What is model capacity in machine learning ?,"[""Is about a fundamental concept""]",What is gradient descent,"[""Involves intricate mathematics"", ""Is about a fundamental concept"", ""Involves very little or no mathematics""]",They are equally difficult
What are the ideas behind unsupervised pretraining?,"[""Is about a fundamental concept"", ""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts"", ""Involves very little or no mathematics""]",What are the different categories of graphical models?,"[""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept""]",They are equally difficult
What is the advantage of deriving the cost function from maximum likelihood for deep neural networks?,"[""Involves intricate mathematics"", ""Is about an obscure concept""]",What is objective functions,"[""Is about a fundamental concept"", ""Involves very little or no mathematics""]",First question is more difficult
How does convolutional net is related to a fully connected net?,"[""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts"", ""Is about a fundamental concept""]",Why deep learning is called deep?,"[""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept"", ""Involves very little or no mathematics""]",First question is more difficult
What does second derivative tells us?,"[""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept""]",What is second derivative.,"[""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept"", ""Involves very little or no mathematics""]",They are equally difficult
What is the RNN-RBM model?,"[""Is about a fundamental concept"", ""Is about an obscure concept"", ""Involves many prerequisite concepts"", ""Involves very little or no mathematics""]",What are the disadvantages of deep belief networks?,"[""Is about a fundamental concept"", ""Is about an obscure concept"", ""Involves many prerequisite concepts""]",They are equally difficult
Describe the advantages of gradient descent over Newton's method,"[""Involves intricate mathematics"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts"", ""Involves very little or no mathematics""]",What is the relation between maximum likelihood learning and KL divergence?,"[""Involves intricate mathematics"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts"", ""Appears early in the book or is otherwise highlighted""]",Second question is more difficult
Give an example of norm functions.,"[""Is about a fundamental concept"", ""Appears early in the book or is otherwise highlighted""]",How model capacity is related to overfitting ?,"[""Is about a fundamental concept""]",They are equally difficult
What are two different type of parameters in a multi-task model?,"[""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts"", ""Appears early in the book or is otherwise highlighted""]",Why Poor condition number makes choosing a good step size difficult?,"[""Involves intricate mathematics"", ""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts"", ""Involves very little or no mathematics""]",They are equally difficult
How do you use damping to perform block updates in binary sparse coding?,"[""Appears towards the end of the book or is otherwise hidden"", ""Involves intricate mathematics"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts""]",What is the core idea of a Markov chain?,"[""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept""]",First question is more difficult
What is model capacity in machine learning ?,"[""Appears early in the book or is otherwise highlighted"", ""Is about a fundamental concept"", ""Involves very little or no mathematics""]",What is the goal of a machine learning algorithm?,"[""Is about a fundamental concept"", ""Appears early in the book or is otherwise highlighted""]",They are equally difficult
What does Invariance to translation means ?,"[""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts"", ""Is about a fundamental concept""]",Why the intermediate layers in a feedforward neural network are called hidden layers?,"[""Is about a fundamental concept"", ""Does not involve a lot of prerequisite concepts"", ""Involves very little or no mathematics""]",First question is more difficult
Why model averaging works?,"[""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts"", ""Involves very little or no mathematics""]",Why deep learning is called deep?,"[""Is about a fundamental concept"", ""Does not involve a lot of prerequisite concepts"", ""Involves very little or no mathematics""]",They are equally difficult
How do you handle missing inputs in classification ?,"[""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts"", ""Is about a fundamental concept""]",What is a strong prior ?,"[""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts""]",Second question is more difficult
What are the difference between location-based addressing and content-based addressing?,"[""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts"", ""Involves very little or no mathematics""]",What is neural Turing machine?,"[""Is about a fundamental concept"", ""Is about an obscure concept"", ""Involves many prerequisite concepts"", ""Appears early in the book or is otherwise highlighted""]",Second question is more difficult
Why deep learning is called deep?,"[""Involves very little or no mathematics"", ""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept""]",What does Invariance to translation means ?,"[""Involves intricate mathematics"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts""]",Second question is more difficult
How model capacity is related to overfitting ?,"[""Is about a fundamental concept"", ""Involves very little or no mathematics""]",how do you Define Hessian matrix.,"[""Involves intricate mathematics"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts"", ""Involves very little or no mathematics""]",Second question is more difficult
Why CD has lower variance compared to SML?,"[""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts""]",Why CD is useful for training shallow models but does not provide much help for training deeper models?,"[""Is about an obscure concept"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts""]",They are equally difficult
What is objective functions,"[""Is about a fundamental concept"", ""Involves very little or no mathematics""]",What is singular value decomposition of a matrix A?,"[""Involves intricate mathematics"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts"", ""Involves very little or no mathematics""]",Second question is more difficult
What are different types of randomized algorithms?,"[""Appears towards the end of the book or is otherwise hidden"", ""Is about a fundamental concept"", ""Involves very little or no mathematics""]",How cross-correlation is related to convolution ?,"[""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept""]",First question is more difficult
What is the general principle of deep learning models?,"[""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts"", ""Is about a fundamental concept""]",What are different regularization strategies?,"[""Is about a fundamental concept"", ""Involves many prerequisite concepts""]",Second question is more difficult
What is the REINFORCE algorithm?,"[""Involves intricate mathematics"", ""Is about a fundamental concept"", ""Is about an obscure concept"", ""Involves many prerequisite concepts""]",In what scenario MCMC methods become less useful?,"[""Is about an obscure concept"", ""Involves many prerequisite concepts""]",They are equally difficult
Why the bidirectional RNNs are called bidirectional?,"[""Is about a fundamental concept""]",What are some successful applications of Bidirectional recurrent neural networks (or bidirectional RNNs)?,"[""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts"", ""Involves very little or no mathematics""]",They are equally difficult
When does the kernel is called separable in CNN ?,"[""Involves very little or no mathematics"", ""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept""]",How to produce an output map of similar size as the input in CNN?,"[""Involves many prerequisite concepts"", ""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept"", ""Involves very little or no mathematics"", ""Appears early in the book or is otherwise highlighted""]",Second question is more difficult
Describe stochastic matrices.,"[""Appears towards the end of the book or is otherwise hidden"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts"", ""Involves very little or no mathematics""]",How do you define a symmetric matrix?,"[""Involves very little or no mathematics"", ""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept""]",First question is more difficult
how do you Define Hessian matrix.,"[""Involves intricate mathematics"", ""Involves many prerequisite concepts"", ""Involves very little or no mathematics""]",What is condition number,"[""Involves intricate mathematics"", ""Is about an obscure concept"", ""Involves many prerequisite concepts"", ""Involves very little or no mathematics""]",Second question is more difficult
How do you define a linear combination of a set of vectors?,"[""Is about a fundamental concept""]",What is the Hadamard product?,"[""Involves intricate mathematics"", ""Is about a fundamental concept"", ""Involves very little or no mathematics""]",They are equally difficult
How to draw samples from RNN considering it as graphical model?,"[""Is about an obscure concept"", ""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts""]",What is MAP inference?,"[""Involves intricate mathematics"", ""Involves many prerequisite concepts"", ""Involves very little or no mathematics""]",They are equally difficult
How do you handle missing inputs in classification ?,"[""Is about an obscure concept"", ""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts"", ""Is about a fundamental concept""]",How do you define expectation of a function?,"[""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept"", ""Involves very little or no mathematics""]",First question is more difficult
What is the REINFORCE algorithm?,"[""Is about an obscure concept"", ""Involves many prerequisite concepts""]",What is a disadvantage of the REINFORCE algorithm?,"[""Involves many prerequisite concepts"", ""Involves very little or no mathematics""]",First question is more difficult
When does the kernel is called separable in CNN ?,"[""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept""]",What are the difference between location-based addressing and content-based addressing?,"[""Does not involve a lot of prerequisite concepts"", ""Is about an obscure concept"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts""]",Second question is more difficult
How to deal with long term dependencies in RNN?,"[""Is about a fundamental concept"", ""Involves many prerequisite concepts""]",In what scenario MCMC methods become less useful?,"[""Involves many prerequisite concepts""]",They are equally difficult
What is a vector?,"[""Is about a fundamental concept""]",What is directional derivative?,"[""Involves intricate mathematics"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts"", ""Involves very little or no mathematics""]",Second question is more difficult
What is free energy?,"[""Involves intricate mathematics"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts"", ""Involves very little or no mathematics""]",Define partition function,"[""Is about an obscure concept"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts"", ""Involves very little or no mathematics""]",They are equally difficult
What is the obstracles in knowing whether a Markov chain has mixed or not?,"[""Involves intricate mathematics"", ""Is about an obscure concept"", ""Involves many prerequisite concepts""]",How can we determine whether the Markov chain has mixed or not?,"[""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts"", ""Is about a fundamental concept""]",They are equally difficult
What is a strong prior ?,"[""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept""]",Why the bidirectional RNNs are called bidirectional?,"[""Is about a fundamental concept""]",They are equally difficult
What are leaky units?,"[""Involves intricate mathematics"", ""Is about an obscure concept"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts""]",Why Poor condition number makes choosing a good step size difficult?,"[""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts"", ""Involves very little or no mathematics""]",First question is more difficult
Why CD has lower variance compared to SML?,"[""Is about an obscure concept"", ""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts""]",When SML is vulnerable to becoming inaccurate?,"[""Is about an obscure concept"", ""Involves many prerequisite concepts""]",They are equally difficult
Why Poor condition number makes choosing a good step size difficult?,"[""Is about a fundamental concept"", ""Involves many prerequisite concepts"", ""Involves very little or no mathematics""]",What is the benefit of sparsity property that is induced by L1 regularization?,"[""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts""]",Second question is more difficult
How do you define orthonormality between two vectors?,"[""Is about a fundamental concept"", ""Involves very little or no mathematics""]",How do define the span of a set of vectors?,"[""Is about a fundamental concept"", ""Appears early in the book or is otherwise highlighted""]",They are equally difficult
What are the disadvantages of deep belief networks?,"[""Appears towards the end of the book or is otherwise hidden"", ""Is about an obscure concept"", ""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts""]",Why does the Boltzmann machine become more powerful when not all variables are observed?,"[""Appears towards the end of the book or is otherwise hidden"", ""Is about an obscure concept"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts""]",Second question is more difficult
How does the pseudoinverse of matrix A help in solving Ax = y?,"[""Involves many prerequisite concepts"", ""Involves intricate mathematics"", ""Does not involve a lot of prerequisite concepts"", ""Is about an obscure concept"", ""Involves very little or no mathematics""]",How do you define a positive semi-definite matrix?,"[""Involves intricate mathematics"", ""Involves very little or no mathematics"", ""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept""]",First question is more difficult
What is the advantage of deriving the cost function from maximum likelihood for deep neural networks?,"[""Involves intricate mathematics"", ""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts""]",What is the difference between linear models and neural network?,"[""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts"", ""Involves very little or no mathematics""]",First question is more difficult
When SML is vulnerable to becoming inaccurate?,"[""Involves many prerequisite concepts""]",What are the advantages of variational approach?,"[""Appears towards the end of the book or is otherwise hidden"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts""]",They are equally difficult
What are the disadvantages of deep belief networks?,"[""Appears towards the end of the book or is otherwise hidden"", ""Involves intricate mathematics"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts""]",What is the motivation for probabilistic max pooling?,"[""Involves intricate mathematics"", ""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts""]",They are equally difficult
What is generalization in machine learning ?,"[""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept""]",What is the goal of a machine learning algorithm?,"[""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept"", ""Involves very little or no mathematics""]",They are equally difficult
Why deep learning is called deep?,"[""Is about a fundamental concept""]",What is the relation between maximum likelihood learning and KL divergence?,"[""Involves intricate mathematics"", ""Involves many prerequisite concepts"", ""Involves very little or no mathematics""]",Second question is more difficult
What does the direction of the arrow indicate in a directed graphical model?,"[""Involves very little or no mathematics"", ""Is about a fundamental concept"", ""Appears early in the book or is otherwise highlighted""]",How unsupervised pretraining helped in natural language processing?,"[""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts"", ""Appears early in the book or is otherwise highlighted""]",Second question is more difficult
What do the edges in a graphical model indicate?,"[""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept""]",What is the semantics of structured probabilistic models?,"[""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts""]",Second question is more difficult
When does the kernel is called separable in CNN ?,"[""Involves many prerequisite concepts"", ""Involves intricate mathematics"", ""Is about a fundamental concept"", ""Is about an obscure concept"", ""Involves very little or no mathematics""]",What is independent component analysis?,"[""Involves intricate mathematics"", ""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept"", ""Appears early in the book or is otherwise highlighted""]",They are equally difficult
How model capacity is related to overfitting ?,"[""Is about a fundamental concept""]",What is model capacity in machine learning ?,"[""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept""]",They are equally difficult
How does convolutional net is related to a fully connected net?,"[""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts""]",What is the difference between softmax and argmax function?,"[""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept""]",First question is more difficult
What is an infinitely strong prior ?,"[""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts"", ""Appears early in the book or is otherwise ""]",What are different generalization of rectified linear unit?,"[""Involves intricate mathematics"", ""Involves very little or no mathematics"", ""Involves many prerequisite concepts"", ""Appears early in the book or is otherwise highlighted""]",They are equally difficult
What is the semantics of structured probabilistic models?,"[""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts"", ""Appears early in the book or is otherwise ""]",What is a structured probabilistic model?,"[""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts"", ""Appears early in the book or is otherwise ""]",They are equally difficult
How do you handle missing inputs in classification ?,"[""Is about a fundamental concept"", ""Does not involve a lot of prerequisite concepts"", ""Appears early in the book or is otherwise highlighted""]",Why deep learning is called deep?,"[""Is about a fundamental concept""]",They are equally difficult
What is teacher forcing in the context of RNN?,"[""Involves intricate mathematics"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts"", ""Appears early in the book or is otherwise highlighted""]",What is the difference between softmax and argmax function?,"[""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept""]",First question is more difficult
What are some successful applications of Bidirectional recurrent neural networks (or bidirectional RNNs)?,"[""Is about a fundamental concept"", ""Involves many prerequisite concepts"", ""Other"", ""Involves very little or no mathematics""]",How do you define a recurrent neural network by computational graphs?,"[""Involves very little or no mathematics"", ""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts"", ""Appears early in the book or is otherwise highlighted""]",Second question is more difficult
Describe binary sparse coding model.,"[""Appears towards the end of the book or is otherwise hidden"", ""Involves intricate mathematics"", ""Involves many prerequisite concepts""]",What are the different categories of graphical models?,"[""Is about a fundamental concept"", ""Involves many prerequisite concepts""]",First question is more difficult
"What is steepest descent, or gradient descent.","[""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept""]",How do you define a symmetric matrix?,"[""Is about a fundamental concept"", ""Involves very little or no mathematics""]",First question is more difficult
What is the advantage of singular value decomposition over eigendecomposition?,"[""Involves intricate mathematics"", ""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts""]",What is singular value decomposition of a matrix A?,"[""Involves intricate mathematics"", ""Involves many prerequisite concepts"", ""Appears early in the book or is otherwise highlighted""]",They are equally difficult
How do you define expectation of a function?,"[""Is about a fundamental concept"", ""Involves very little or no mathematics""]",How do you define a linear combination of a set of vectors?,"[""Is about a fundamental concept"", ""Involves very little or no mathematics""]",They are equally difficult
What is a heuristic technique for performing block updates in binary sparse coding?,"[""Appears towards the end of the book or is otherwise hidden"", ""Is about an obscure concept"", ""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts""]",How to get truly independent samples from Markov chain?,"[""Involves intricate mathematics"", ""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts""]",First question is more difficult
What is broadcasting?,"[""Appears towards the end of the book or is otherwise hidden"", ""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept""]",What is a square matrix?,"[""Is about a fundamental concept"", ""Involves very little or no mathematics""]",First question is more difficult
What are leaky units?,"[""Involves intricate mathematics"", ""Is about a fundamental concept"", ""Does not involve a lot of prerequisite concepts"", ""Involves very little or no mathematics""]",Describe few basic strategies for setting the time constants used by leaky units.,"[""Does not involve a lot of prerequisite concepts"", ""Is about an obscure concept"", ""Involves many prerequisite concepts"", ""Is about a fundamental concept""]",Second question is more difficult
Give an example of norm functions.,"[""Involves very little or no mathematics"", ""Is about a fundamental concept"", ""Appears early in the book or is otherwise highlighted""]",How do you define orthonormality between two vectors?,"[""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept"", ""Involves very little or no mathematics""]",They are equally difficult
How to produce an output map of similar size as the input in CNN?,"[""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts"", ""Involves very little or no mathematics""]",What is independent component analysis?,"[""Appears towards the end of the book or is otherwise hidden"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts"", ""Appears early in the book or is otherwise highlighted""]",Second question is more difficult
How cross-correlation is related to convolution ?,"[""Appears towards the end of the book or is otherwise hidden"", ""Involves intricate mathematics"", ""Involves many prerequisite concepts"", ""Appears early in the book or is otherwise highlighted""]",Why locally connected layers are sometimes called as unshared convolution ?,"[""Appears towards the end of the book or is otherwise hidden"", ""Involves intricate mathematics"", ""Involves many prerequisite concepts""]",They are equally difficult
What are some successful applications of Bidirectional recurrent neural networks (or bidirectional RNNs)?,"[""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts""]",What are the application of recursive neural networks?,"[""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts""]",They are equally difficult
What is factor analysis?,"[""Appears towards the end of the book or is otherwise hidden"", ""Involves intricate mathematics"", ""Is about a fundamental concept"", ""Appears early in the book or is otherwise highlighted""]",What is a structured probabilistic model?,"[""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts"", ""Is about a fundamental concept""]",They are equally difficult
What is a probability distribution?,"[""Is about a fundamental concept"", ""Involves very little or no mathematics""]",What is broadcasting?,"[""Is about an obscure concept"", ""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts"", ""Is about a fundamental concept""]",Second question is more difficult
When does the kernel is called separable in CNN ?,"[""Does not involve a lot of prerequisite concepts"", ""Is about an obscure concept"", ""Involves many prerequisite concepts"", ""Involves very little or no mathematics""]",How the linear operations are guaranteed to be commutative in CNN?,"[""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts""]",They are equally difficult
Define a deep belief network.,"[""Involves many prerequisite concepts"", ""Involves intricate mathematics"", ""Does not involve a lot of prerequisite concepts"", ""Appears towards the end of the book or is otherwise hidden"", ""Is about a fundamental concept""]",What are the disadvantages of deep belief networks?,"[""Appears towards the end of the book or is otherwise hidden"", ""Involves many prerequisite concepts"", ""Appears early in the book or is otherwise highlighted""]",Second question is more difficult
What does the direction of the arrow indicate in a directed graphical model?,"[""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept"", ""Appears early in the book or is otherwise highlighted""]",How the linear operations are guaranteed to be commutative in CNN?,"[""Is about an obscure concept"", ""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts""]",Second question is more difficult
Why feedforward neural networks are called feedforward?,"[""Is about a fundamental concept""]",What is parametric models ?,"[""Does not involve a lot of prerequisite concepts"", ""Is about an obscure concept"", ""Is about a fundamental concept""]",Second question is more difficult
"Why pseudolikelihood estimator can not be used with other approximations that provide only a lower bound on˜p(x), such asvariational inference?","[""Appears towards the end of the book or is otherwise hidden"", ""Involves intricate mathematics"", ""Involves many prerequisite concepts""]",What are the different categories of graphical models?,"[""Is about a fundamental concept"", ""Involves many prerequisite concepts""]",First question is more difficult
What are saddle points?,"[""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept"", ""Involves very little or no mathematics""]",Give an example of norm functions.,"[""Involves very little or no mathematics"", ""Is about a fundamental concept"", ""Appears early in the book or is otherwise highlighted""]",They are equally difficult
How to get truly independent samples from Markov chain?,"[""Involves intricate mathematics"", ""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts""]",What is the obstracles in knowing whether a Markov chain has mixed or not?,"[""Involves intricate mathematics"", ""Involves many prerequisite concepts""]",Second question is more difficult
How do you handle missing inputs in classification ?,"[""Involves very little or no mathematics"", ""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts"", ""Appears early in the book or is otherwise highlighted""]",What is an infinitely strong prior ?,"[""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts""]",Second question is more difficult
Why feedforward neural networks are called feedforward?,"[""Is about a fundamental concept""]",What is objective functions,"[""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept""]",They are equally difficult
What is second derivative.,"[""Is about a fundamental concept"", ""Involves very little or no mathematics""]",What is the Euclidean norm?,"[""Involves very little or no mathematics"", ""Is about a fundamental concept"", ""Appears early in the book or is otherwise highlighted""]",They are equally difficult
How unsupervised pretraining helped in natural language processing?,"[""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts"", ""Appears early in the book or is otherwise highlighted""]",What are the ideas behind unsupervised pretraining?,"[""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts"", ""Appears early in the book or is otherwise highlighted""]",They are equally difficult
Describe softplus function.,"[""Is about a fundamental concept"", ""Does not involve a lot of prerequisite concepts"", ""Involves very little or no mathematics""]",What is objective functions,"[""Is about a fundamental concept""]",First question is more difficult
What is the core idea of a Markov chain?,"[""Involves intricate mathematics"", ""Does not involve a lot of prerequisite concepts"", ""Appears towards the end of the book or is otherwise hidden"", ""Is about a fundamental concept"", ""Appears early in the book or is otherwise highlighted""]",How can we determine whether the Markov chain has mixed or not?,"[""Appears towards the end of the book or is otherwise hidden"", ""Involves intricate mathematics"", ""Is about an obscure concept"", ""Involves many prerequisite concepts""]",Second question is more difficult
Why deep learning is called deep?,"[""Is about a fundamental concept""]",What is an infinitely strong prior ?,"[""Involves intricate mathematics"", ""Does not involve a lot of prerequisite concepts"", ""Involves many prerequisite concepts"", ""Is about a fundamental concept""]",Second question is more difficult
What do the edges in a graphical model indicate?,"[""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept""]",What is the core idea of a Markov chain?,"[""Appears towards the end of the book or is otherwise hidden"", ""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts""]",Second question is more difficult
Define a deep belief network.,"[""Appears towards the end of the book or is otherwise hidden"", ""Involves intricate mathematics"", ""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept""]",How to mitigate the problem of high correlation of two successive samples in markov chain monte carlo methods?,"[""Appears towards the end of the book or is otherwise hidden"", ""Involves intricate mathematics"", ""Is about an obscure concept"", ""Involves many prerequisite concepts""]",Second question is more difficult
Describe the advantages of gradient descent over Newton's method,"[""Involves intricate mathematics"", ""Involves many prerequisite concepts""]","What is steepest descent, or gradient descent.","[""Involves intricate mathematics"", ""Does not involve a lot of prerequisite concepts"", ""Is about a fundamental concept"", ""Involves many prerequisite concepts""]",First question is more difficult
